Structure,Prénom,Nom,Mail,Fonction_hiérarchique,Complément_fonction,Téléphone,Mobile
SD/DRAAF/DRAAF-NOUVELLE-AQUITAINE,Corinne,Gautier,corinne.gautier@example.com,Responsable formation,,+33 5 56 45 67 92,+33 6 23 34 56 81
SD/DRAAF/DRAAF-NOUVELLE-AQUITAINE,Vincent,Dumont,vincent.dumont@example.com,Chargé de mission,,+33 5 56 45 67 93,+33 6 23 34 56 82
SD/DRAAF/DRAAF-OCCITANIE,Marcel,Roussel,marcel.roussel@example.com,Directeur régional,,+33 5 61 45 67 89,+33 6 33 34 56 78
SD/DRAAF/DRAAF-OCCITANIE,Louise,Dupont,louise.dupont@example.com,Directrice adjointe,,+33 5 61 45 67 90,+33 6 33 34 56 79
SD/DRAAF/DRAAF-OCCITANIE,Roger,Fabre,roger.fabre@example.com,Chef de service,,+33 5 61 45 67 91,+33 6 33 34 56 80
SD/DRAAF/DRAAF-OCCITANIE,Jeanne,Clement,jeanne.clement@example.com,Responsable communication,,+33 5 61 45 67 92,+33 6 33 34 56 81
SD/DRAAF/DRAAF-OCCITANIE,Roland,Berger,roland.berger@example.com,Chargé de mission,,+33 5 61 45 67 93,+33 6 33 34 56 82
SD/DRAAF/DRAAF-PACA,Maurice,Dufour,maurice.dufour@example.com,Directeur régional,,+33 4 91 45 67 89,+33 6 43 34 56 78
SD/DRAAF/DRAAF-PACA,Simone,Roche,simone.roche@example.com,Directrice adjointe,,+33 4 91 45 67 90,+33 6 43 34 56 79
SD/DRAAF/DRAAF-PACA,Gilbert,Bonnet,gilbert.bonnet@example.com,Chef de pôle,,+33 4 91 45 67 91,+33 6 43 34 56 80
SD/DRAAF/DRAAF-PACA,Denise,Morin,denise.morin@example.com,Responsable RH,,+33 4 91 45 67 92,+33 6 43 34 56 81
SD/DRAAF/DRAAF-PACA,Raymond,Perrot,raymond.perrot@example.com,Chargé de projet,,+33 4 91 45 67 93,+33 6 43 34 56 82
SD/DRAAF/DRAAF-PAYS-DE-LA-LOIRE,André,Brun,andre.brun@example.com,Directeur régional,,+33 2 41 45 67 89,+33 6 53 34 56 78
SD/DRAAF/DRAAF-PAYS-DE-LA-LOIRE,Madeleine,Joly,madeleine.joly@example.com,Directrice adjointe,,+33 2 41 45 67 90,+33 6 53 34 56 79
SD/DRAAF/DRAAF-PAYS-DE-LA-LOIRE,Claude,Benoit,claude.benoit@example.com,Chef de service,,+33 2 41 45 67 91,+33 6 53 34 56 80
SD/DRAAF/DRAAF-PAYS-DE-LA-LOIRE,Jacqueline,Francois,jacqueline.francois@example.com,Responsable budget,,+33 2 41 45 67 92,+33 6 53 34 56 81
SD/DRAAF/DRAAF-PAYS-DE-LA-LOIRE,Robert,Leclerc,robert.leclerc@example.com,Chargé de mission,,+33 2 41 45 67 93,+33 6 53 34 56 82
